Date,Pred
2025-01-20,-5.0286930913039685
2025-01-21,-4.747226292207588
2025-01-22,-5.137128123456963
2025-01-23,-5.5939082163200435
2025-01-24,-5.352737086933821
2025-01-25,-5.496250906556396
2025-01-26,-5.933808516666585
2025-01-27,-5.974097159166208
2025-01-28,-5.307030058886036
2025-01-29,-5.710780363929251
2025-01-30,-5.565220344572172
2025-01-31,-5.88937798930707
2025-02-01,-5.868696700375754
2025-02-02,-5.9530433937583425
2025-02-03,-5.179706687051399
2025-02-04,-4.349583815579447
2025-02-05,-5.057685946610341
2025-02-06,-5.245486443929846
2025-02-07,-5.228062572512813
2025-02-08,-5.170479362990262
2025-02-09,-5.544496966852366
2025-02-10,-5.491864616731477
2025-02-11,-5.442772269571639
2025-02-12,-5.57062718830935
2025-02-13,-5.351722330129194
2025-02-14,-5.777960439176575
2025-02-15,-5.719832921594319
2025-02-16,-6.094734854725555
2025-02-17,-6.2066889001771095
2025-02-18,-5.981110023909862
2025-02-19,-5.770989692193464
2025-02-20,-6.114512837499486
2025-02-21,-6.155955789611641
2025-02-22,-5.801764236297165
2025-02-23,-6.257947131340609
2025-02-24,-6.444485053962774
2025-02-25,-5.594730401015929
2025-02-26,-5.221981245340979
2025-02-27,-5.513332720156608
2025-02-28,-5.730386996842298
